Actual,Predicted
2840.76000976562,2728.5264
2831.34008789062,2741.9722
2819.71997070312,2731.272
2844.52001953125,2725.1736
2796.01000976562,2748.7405
2812.65991210938,2693.6184
2819.71997070312,2728.8843
2809.39990234375,2716.5256
2828.27001953125,2716.4402
2848.6298828125,2734.1934
2868.23999023437,2747.355
2876.09008789062,2766.7263
2873.98999023437,2771.2556
2884.15991210938,2770.339
2888.4599609375,2781.2952
2886.580078125,2781.9712
2881.3701171875,2781.598
2891.919921875,2777.1838
2900.86010742188,2788.306
2908.32006835937,2792.899
2912.26000976562,2801.1062
2916.0400390625,2803.2039
2904.81005859375,2807.4548
2898.78002929687,2795.1616
2909.98999023437,2793.3337
2934.0,2803.1282
2928.98999023437,2823.698
2925.81005859375,2814.5146
2940.580078125,2817.7751
2937.13989257812,2829.2078
2952.330078125,2822.5627
2922.15991210937,2842.4043
2929.2099609375,2805.3088
2908.88989257812,2826.3167
2913.03002929688,2794.1946
2879.61010742187,2810.3777
2859.84008789063,2768.6938
2863.10009765625,2762.8933
2840.18994140625,2761.5051
2820.1201171875,2738.0847
2820.3798828125,2726.4043
2855.80004882812,2725.5022
2858.60009765625,2758.3938
2841.93994140625,2752.7754
2854.02001953125,2743.4216
2856.06005859375,2756.6829
2836.69995117187,2752.453
2832.40991210937,2737.7322
2830.03002929687,2736.9521
2790.25,2731.8054
2786.93994140625,2694.8352
2766.14990234375,2700.983
2751.53002929687,2672.7263
2762.63989257812,2667.4932
2818.09008789063,2676.0483
2828.51000976562,2726.3542
2852.8701171875,2725.0476
2885.830078125,2757.6484
2903.27001953125,2779.6025
2882.72998046875,2796.193
2886.23999023437,2775.2332
2886.82006835938,2785.7698
2889.75,2779.762
2906.7099609375,2785.9756
2920.55004882812,2800.383
2949.60009765625,2809.9277
2952.7099609375,2838.855
2951.419921875,2834.8613
2945.78002929688,2839.1772
2926.07006835938,2830.833
2919.65991210937,2814.5872
2932.93994140625,2811.9863
2971.40991210937,2822.1929
2964.65991210937,2857.5913
2978.080078125,2843.8037
2984.25,2866.2903
2979.77001953125,2861.711
2965.52001953125,2861.4546
2989.30004882813,2848.0576
2999.6201171875,2874.7827
3003.36010742188,2875.2324
3017.80004882812,2883.419
3012.1298828125,2895.407
3005.10009765625,2886.655
2978.8701171875,2884.588
3004.26000976563,2857.0464
2981.92993164063,2889.7532
2994.73999023437,2853.8845
2998.77001953125,2882.751
3016.26000976563,2872.9006
3013.25,2897.5596
3024.46997070312,2886.4895
3007.65991210937,2903.5984
3016.21997070312,2880.2559
2980.32006835937,2898.2751
2943.89990234375,2853.9392
2898.07006835938,2834.119
2861.17993164062,2788.1055
2858.64990234375,2761.229
2896.2099609375,2760.1396
2930.51000976563,2792.7334
2907.07006835937,2818.6338
2880.71997070312,2794.6042
2894.14990234375,2779.1968
2846.19995117187,2791.0908
2864.73999023437,2738.3333
2913.47998046875,2773.8455
2919.01000976562,2801.9954
2922.0400390625,2806.346
2930.93994140625,2814.8247
2911.07006835937,2819.2048
2866.69995117187,2799.7283
2893.13989257812,2763.14
2861.28002929687,2795.0906
2910.3701171875,2749.0283
2937.09008789062,2816.7969
2909.01000976563,2815.7747
2924.669921875,2799.604
2960.60009765625,2820.778
2980.330078125,2844.576
2988.42993164062,2861.3228
2971.01000976562,2869.6687
2981.40991210937,2851.3088
