Predicted,Actual
19.35209846496582,19.15
18.313800811767578,18.56
18.037628173828125,18.11
17.68277931213379,17.77
17.419326782226562,17.36
17.009458541870117,17.14
16.95614242553711,17.1
17.09552764892578,17.1
17.175373077392578,16.6
16.26197052001953,16.37
16.22433090209961,16.44
16.4969539642334,16.64
16.866966247558594,16.52
16.428632736206055,17.28
18.00625228881836,18.59
19.777053833007812,19.77
20.77810287475586,20.59
21.231348037719727,21.14
21.368600845336914,21.69
21.810054779052734,22.12
22.11229705810547,21.68
21.002826690673828,20.85
19.723003387451172,20.41
19.5706729888916,20.3
19.786865234375,19.93
19.33127784729004,19.76
19.387304306030273,19.49
19.071033477783203,18.75
18.11370277404785,17.94
17.41339683532715,17.94
17.876907348632812,17.83
17.68709945678711,17.72
17.621084213256836,17.73
17.717327117919922,17.79
17.870765686035156,17.89
18.006004333496094,17.88
17.87148666381836,17.97
18.009164810180664,18.07
18.017330169677734,18.51
18.83112144470215,19.04
19.393556594848633,20.06
20.82391357421875,19.88
19.613367080688477,20.46
20.712064743041992,20.11
19.57586097717285,19.24
18.321157455444336,18.61
17.887311935424805,17.73
17.007801055908203,17.71
17.448532104492188,17.42
17.004955291748047,17.29
17.190994262695312,16.95
16.620832443237305,16.93
16.972238540649414,16.99
17.084850311279297,17.01
17.121774673461914,17.31
17.61991310119629,17.31
17.27871322631836,17.16
16.979753494262695,17.25
17.228986740112305,17.75
18.12491798400879,17.15
16.597759246826172,17.28
17.223587036132812,16.97
16.54883575439453,17.0
16.92582130432129,16.84
16.60185432434082,16.64
16.381004333496094,16.44
16.167003631591797,15.69
15.175997734069824,15.11
14.802680969238281,14.99
14.855476379394531,14.77
14.61788558959961,14.52
14.388555526733398,14.61
14.770541191101074,14.75
14.987783432006836,14.94
15.24414348602295,14.81
14.81192398071289,14.99
15.189568519592285,14.88
14.762038230895996,14.91
14.908679008483887,14.64
14.364370346069336,14.48
14.288293838500977,14.56
14.560331344604492,14.7
14.782429695129395,15.02
15.307291984558105,15.4
15.703081130981445,16.1
16.691152572631836,16.86
17.463821411132812,17.85
18.58173942565918,18.47
18.827198028564453,19.3
19.700332641601562,20.01
20.25566291809082,20.55
20.636289596557617,20.54
20.191675186157227,20.02
19.202281951904297,20.25
19.98044776916504,19.94
19.296358108520508,19.13
18.211528778076172,17.88
17.020214080810547,17.51
17.14899253845215,17.03
16.572168350219727,16.44
16.059606552124023,15.97
15.690544128417969,15.21
14.79882526397705,14.58
14.338242530822754,14.34
14.296147346496582,13.89
13.717272758483887,13.5
13.381908416748047,13.86
14.367878913879395,14.87
16.16960334777832,16.32
17.98527717590332,17.89
19.40667152404785,19.81
21.224445343017578,20.97
21.65271759033203,21.08
21.05881118774414,21.84
21.890071868896484,22.28
22.099552154541016,23.11
23.116003036499023,23.49
23.2427978515625,23.44
22.941431045532227,23.01
22.190237045288086,22.22
21.170310974121094,21.01
19.984914779663086,19.62
18.743736267089844,17.88
17.142337799072266,16.92
16.459705352783203,16.18
15.766297340393066,15.53
15.20361042022705,14.94
14.653162002563477,14.53
14.382283210754395,14.04
13.882079124450684,13.98
14.152047157287598,14.47
15.263144493103027,15.77
17.461456298828125,17.7
19.7019100189209,19.97
21.75311279296875,22.17
23.456951141357422,23.93
24.677661895751953,25.03
25.39025115966797,26.26
26.521656036376953,26.83
26.848682403564453,26.96
26.624351501464844,27.01
26.466522216796875,26.87
26.12423324584961,26.27
25.166881561279297,25.07
23.62693214416504,23.03
21.70636749267578,21.54
20.75239372253418,21.43
21.222179412841797,20.69
20.037885665893555,19.83
19.277462005615234,19.24
18.830875396728516,18.53
18.130863189697266,18.77
19.190135955810547,18.38
18.096363067626953,18.53
18.786611557006836,19.64
20.844125747680664,20.58
21.63509750366211,22.09
23.571434020996094,20.63
19.531396865844727,19.44
18.511993408203125,19.66
19.468183517456055,21.57
22.990459442138672,22.53
23.123952865600586,23.52
24.101274490356445,23.78
23.737215042114258,23.72
23.416349411010742,23.35
22.706275939941406,22.4
21.301040649414062,21.52
20.47911834716797,20.14
19.122657775878906,19.72
19.2673397064209,19.54
19.19378089904785,18.68
18.036029815673828,17.55
16.956281661987305,17.19
16.986438751220703,16.79
16.56540298461914,16.4
16.228424072265625,16.18
16.101696014404297,15.68
15.377690315246582,15.66
15.729275703430176,16.52
17.596376419067383,18.2
20.121883392333984,19.25
20.26516342163086,20.52
21.54850196838379,21.59
22.23963737487793,22.13
22.355321884155273,22.4
22.286239624023438,22.36
21.90161895751953,22.77
22.554792404174805,23.14
22.915536880493164,22.31
21.261451721191406,22.04
21.303956985473633,21.38
20.475330352783203,20.18
19.26544952392578,19.01
18.302274703979492,18.38
17.927200317382812,17.34
16.754642486572266,16.63
16.271820068359375,15.75
15.326044082641602,15.01
14.682767868041992,14.43
14.182940483093262,14.19
14.185846328735352,13.94
13.916385650634766,14.47
15.28371524810791,15.57
17.044322967529297,17.07
18.809926986694336,19.39
21.4197998046875,21.22
22.474674224853516,23.08
24.006072998046875,23.59
23.80130958557129,24.95
25.31194305419922,25.63
25.66814422607422,25.98
25.768281936645508,26.19
25.772449493408203,26.24
25.68075180053711,25.44
24.293758392333984,23.77
22.228185653686523,22.3
21.24982452392578,21.11
20.364030838012695,20.64
20.215028762817383,20.39
20.048965454101562,19.84
19.33535385131836,19.34
18.9389591217041,18.62
18.172500610351562,18.02
17.711044311523438,17.75
17.592945098876953,18.59
19.591941833496094,19.33
20.171846389770508,20.04
20.83733367919922,21.18
22.251800537109375,21.28
21.296329498291016,22.25
22.890316009521484,23.73
24.613134384155273,21.85
20.51708984375,20.26
19.023113250732422,21.35
21.900955200195312,21.59
21.409687042236328,21.29
20.77227783203125,21.1
20.556385040283203,20.54
19.817214965820312,19.87
19.223285675048828,19.55
19.1921443939209,18.93
18.362520217895508,18.51
18.02745246887207,18.25
17.924381256103516,18.01
17.783157348632812,17.81
17.62109375,17.38
17.03585433959961,16.96
16.66670799255371,16.69
16.471355438232422,16.26
15.983076095581055,16.5
16.763980865478516,16.75
17.017343521118164,16.59
16.522171020507812,17.06
17.53857421875,18.29
19.51415252685547,19.12
19.892398834228516,19.4
19.580120086669922,20.01
20.282073974609375,17.25
15.988280296325684,16.67
16.26630401611328,17.2
17.124792098999023,17.51
17.530113220214844,17.66
17.68812370300293,17.24
16.723031997680664,17.13
16.994829177856445,17.0
16.895606994628906,17.01
17.14242172241211,17.04
16.99502182006836,16.93
16.72003173828125,16.75
16.502748489379883,16.49
16.198822021484375,16.08
15.746129035949707,16.11
16.074207305908203,15.75
15.425349235534668,15.63
15.524913787841797,16.15
16.638164520263672,16.82
17.480709075927734,17.3
17.788719177246094,17.68
17.999832153320312,18.14
18.432621002197266,18.79
19.191884994506836,19.43
19.77716827392578,19.39
19.0997371673584,19.23
18.770925521850586,19.65
19.641571044921875,20.04
20.09517478942871,19.95
19.62114715576172,19.57
18.949764251708984,19.19
18.573936462402344,18.86
18.340591430664062,18.41
17.846235275268555,18.08
17.64305877685547,17.75
17.329971313476562,17.39
17.02846908569336,17.1
16.82042694091797,16.77
16.496755599975586,15.97
15.51792049407959,15.51
15.280586242675781,15.85
16.18208122253418,17.17
18.674062728881836,19.43
21.491527557373047,21.63
23.293333053588867,22.87
23.730554580688477,23.7
24.13202667236328,24.53
24.80699920654297,25.09
25.127670288085938,25.24
24.873004913330078,25.45
24.991262435913086,25.34
24.664888381958008,24.9
23.982328414916992,24.27
23.273386001586914,23.27
22.14069938659668,21.98
20.98408317565918,20.88
20.15305519104004,20.07
19.53055763244629,19.4
18.964017868041992,18.78
18.37884521484375,18.24
17.884441375732422,17.21
16.668437957763672,16.62
16.396915435791016,16.06
15.785560607910156,15.79
15.739937782287598,16.24
16.838680267333984,16.8
17.55838394165039,17.69
18.823326110839844,19.52
21.410808563232422,20.83
21.971908569335938,22.76
24.101463317871094,24.12
24.80192756652832,25.11
25.510112762451172,26.01
26.227733612060547,26.52
26.49279022216797,26.68
26.35413360595703,26.73
26.216642379760742,26.64
25.9885196685791,25.77
24.569595336914062,24.1
22.61777687072754,22.34
21.25404167175293,21.36
20.743146896362305,20.48
19.895999908447266,19.83
19.42361831665039,19.16
18.731487274169922,18.44
18.02300262451172,17.97
17.746435165405273,17.76
17.726459503173828,17.51
17.41465187072754,18.05
18.745250701904297,19.57
21.331418991088867,21.08
22.64591407775879,23.67
25.647212982177734,25.72
26.77000617980957,27.15
27.825651168823242,27.84
28.142152786254883,28.67
28.85350799560547,28.75
28.481346130371094,29.43
29.265810012817383,29.11
28.27743148803711,29.23
28.577136993408203,28.41
27.205142974853516,26.96
25.35215950012207,26.1
25.023513793945312,24.47
23.33185577392578,22.87
22.02376937866211,21.94
21.387371063232422,21.05
20.57558250427246,20.69
20.489959716796875,20.3
20.003923416137695,19.98
19.742734909057617,18.98
18.363937377929688,18.75
18.665973663330078,19.26
19.90169906616211,20.29
21.50060272216797,21.85
23.462385177612305,24.43
26.350563049316406,26.01
27.043872833251953,27.54
28.389785766601562,28.77
29.276325225830078,29.41
29.56224822998047,29.75
29.600675582885742,30.06
29.699932098388672,29.36
28.347259521484375,27.16
25.104938507080078,25.12
23.641477584838867,24.74
24.286602020263672,24.03
23.236108779907227,22.85
21.987384796142578,21.7
21.02353286743164,20.15
19.452194213867188,19.44
19.18396759033203,19.18
19.11306381225586,18.91
18.75609016418457,18.96
19.0657958984375,18.89
18.900278091430664,18.99
19.203420639038086,19.12
19.32650375366211,19.74
20.41830825805664,20.22
20.645036697387695,21.9
23.330841064453125,23.32
24.26412582397461,23.96
24.370410919189453,25.01
25.505720138549805,26.02
26.40478515625,26.15
25.98568344116211,25.31
24.295089721679688,19.85
18.617555618286133,18.75
18.540138244628906,18.99
18.557527542114258,19.25
19.199617385864258,18.74
18.12855339050293,17.99
17.284236907958984,17.73
17.576595306396484,17.07
16.727493286132812,17.1
17.421367645263672,16.95
16.796119689941406,16.68
16.460697174072266,16.66
16.635822296142578,16.55
16.497604370117188,16.74
16.984302520751953,16.92
17.11728286743164,17.37
17.819700241088867,17.69
17.902931213378906,18.55
19.264141082763672,19.34
19.93548583984375,20.68
21.667226791381836,21.11
21.27959442138672,20.95
20.595165252685547,21.22
21.028989791870117,20.82
20.135366439819336,17.7
16.4938907623291,17.07
16.652488708496094,17.01
16.523136138916016,16.53
16.03404998779297,16.19
15.933439254760742,16.13
16.026065826416016,16.0
16.01059341430664,15.67
15.583672523498535,15.34
15.28550910949707,15.16
15.049004554748535,14.55
14.205101013183594,14.01
13.784831047058105,13.59
13.386483192443848,13.51
13.511652946472168,13.97
14.547842979431152,15.03
16.26904296875,16.57
18.161945343017578,18.54
20.261178970336914,20.76
22.245094299316406,21.89
22.55167579650879,22.31
22.435070037841797,23.53
23.803943634033203,24.07
24.000221252441406,23.74
23.11451530456543,24.01
23.55030059814453,23.87
23.21683120727539,23.55
22.749094009399414,22.36
21.103445053100586,21.88
21.15296745300293,20.68
19.753141403198242,20.33
19.932849884033203,19.56
18.94464683532715,18.37
17.71651268005371,17.63
17.23236656188965,17.79
17.973220825195312,17.1
16.634632110595703,16.74
16.588016510009766,16.41
16.211366653442383,16.46
16.59381103515625,16.98
17.665313720703125,17.55
18.282804489135742,18.83
20.168560028076172,19.92
20.850488662719727,21.66
23.04348373413086,22.82
23.494487762451172,21.42
20.456523895263672,20.06
18.811355590820312,19.59
18.88745880126953,19.86
19.652006149291992,19.28
18.412540435791016,19.25
18.91499137878418,18.82
18.221559524536133,17.97
17.393163681030273,17.51
17.2489013671875,17.24
17.016450881958008,17.35
17.430828094482422,17.37
17.398427963256836,16.76
16.338703155517578,16.77
16.736841201782227,16.44
16.163787841796875,16.11
15.916559219360352,16.08
16.029340744018555,16.45
16.821640014648438,16.85
17.225223541259766,17.26
17.680105209350586,18.37
19.42548179626465,19.66
20.685237884521484,19.61
19.567670822143555,20.88
21.620670318603516,20.36
19.782779693603516,19.73
18.850107192993164,19.41
18.671897888183594,19.52
19.250951766967773,19.67
19.481809616088867,18.61
17.622955322265625,16.96
16.184894561767578,16.77
16.541820526123047,16.81
16.771312713623047,16.47
16.224708557128906,16.08
15.800745964050293,15.89
15.723721504211426,15.45
15.223111152648926,15.36
15.415142059326172,15.19
15.131985664367676,15.12
15.11199951171875,15.02
14.976187705993652,15.19
15.413851737976074,15.78
16.409088134765625,17.44
19.042098999023438,19.14
20.542789459228516,20.26
21.096824645996094,21.49
22.17809295654297,22.52
22.94157600402832,22.34
22.016647338867188,23.55
23.835636138916016,23.52
23.08657455444336,23.41
22.784767150878906,22.93
22.025758743286133,22.23
21.215574264526367,21.24
